Kabupaten, Produksi
Kabupaten Pacitan,69651
Kabupaten Ponorogo,379245
Kabupaten Trenggalek,104859
Kabupaten Tulungagung,214821
Kabupaten Blitar,171154
Kabupaten Kediri,174072
Kabupaten Malang,254794
Kabupaten Lumajang,257121
Kabupaten Jember,623265
Kabupaten Banyuwangi,395631
Kabupaten Bondowoso,259478
Kabupaten Situbondo,162237
Kabupaten Probolinggo,177607
Kabupaten Pasuruan,277355
Kabupaten Sidoarjo,208987
Kabupaten Mojokerto,285714
Kabupaten Jombang,342291
Kabupaten Nganjuk,404975
Kabupaten Madiun,437458
Kabupaten Magetan,272246
Kabupaten Ngawi,765704
Kabupaten Bojonegoro,710527
Kabupaten Tuban,523067
Kabupaten Lamongan,776291
Kabupaten Gresik,328960
Kabupaten Bangkalan,189162
Kabupaten Sampang,145932
Kabupaten Pamekasan,101501
Kabupaten Sumenep,189500
Kota Kediri,8393
Kota Blitar,3722
Kota Malang,10497
Kota Probolinggo,8494
Kota Pasuruan,8665
Kota Mojokerto,3450
Kota Madiun,12610
Kota Surabaya,7340
Kota Batu,3659
