Kabupaten, Produksi
Kabupaten Pacitan,132882
Kabupaten Ponorogo,435192
Kabupaten Trenggalek,157416
Kabupaten Tulungagung,242117
Kabupaten Blitar,232844
Kabupaten Kediri,201369
Kabupaten Malang,255774
Kabupaten Lumajang,286353
Kabupaten Jember,686594
Kabupaten Banyuwangi,456133
Kabupaten Bondowoso,278619
Kabupaten Situbondo,201232
Kabupaten Probolinggo,199842
Kabupaten Pasuruan,274938
Kabupaten Sidoarjo,184866
Kabupaten Mojokerto,312544
Kabupaten Jombang,446715
Kabupaten Nganjuk,434627
Kabupaten Madiun,474087
Kabupaten Magetan,307838
Kabupaten Ngawi,775466
Kabupaten Bojonegoro,886443
Kabupaten Tuban,592022
Kabupaten Lamongan,904928
Kabupaten Gresik,375229
Kabupaten Bangkalan,224049
Kabupaten Sampang,190069
Kabupaten Pamekasan,131384
Kabupaten Sumenep,189745
Kota Kediri,3555
Kota Blitar,6061
Kota Malang,8558
Kota Probolinggo,10092
Kota Pasuruan,7652
Kota Mojokerto,3067
Kota Madiun,11069
Kota Surabaya,6071
Kota Batu,3410
