Kabupaten, Produksi
Kabupaten Pacitan,92993
Kabupaten Ponorogo,392994
Kabupaten Trenggalek,114875
Kabupaten Tulungagung,235502
Kabupaten Blitar,240224
Kabupaten Kediri,183534
Kabupaten Malang,279366
Kabupaten Lumajang,308646
Kabupaten Jember,616726
Kabupaten Banyuwangi,454768
Kabupaten Bondowoso,247779
Kabupaten Situbondo,157273
Kabupaten Probolinggo,201044
Kabupaten Pasuruan,260062
Kabupaten Sidoarjo,195855
Kabupaten Mojokerto,302891
Kabupaten Jombang,346873
Kabupaten Nganjuk,418096
Kabupaten Madiun,437593
Kabupaten Magetan,280592
Kabupaten Ngawi,771251
Kabupaten Bojonegoro,705963
Kabupaten Tuban,501741
Kabupaten Lamongan,798705
Kabupaten Gresik,417429
Kabupaten Bangkalan,186258
Kabupaten Sampang,167191
Kabupaten Pamekasan,108483
Kabupaten Sumenep,217810
Kota Kediri,8272
Kota Blitar,5637
Kota Malang,10319
Kota Probolinggo,7502
Kota Pasuruan,8020
Kota Mojokerto,3293
Kota Madiun,12170
Kota Surabaya,8069
Kota Batu,4863
