Kabupaten, Produksi
Kabupaten Pacitan,90428
Kabupaten Ponorogo,359414
Kabupaten Trenggalek,115758
Kabupaten Tulungagung,207217
Kabupaten Blitar,215483
Kabupaten Kediri,168854
Kabupaten Malang,271607
Kabupaten Lumajang,300829
Kabupaten Jember,607371
Kabupaten Banyuwangi,462206
Kabupaten Bondowoso,238678
Kabupaten Situbondo,141628
Kabupaten Probolinggo,185413
Kabupaten Pasuruan,247256
Kabupaten Sidoarjo,194540
Kabupaten Mojokerto,281829
Kabupaten Jombang,337172
Kabupaten Nganjuk,376476
Kabupaten Madiun,401574
Kabupaten Magetan,266700
Kabupaten Ngawi,755939
Kabupaten Bojonegoro,704289
Kabupaten Tuban,498939
Kabupaten Lamongan,903882
Kabupaten Gresik,411242
Kabupaten Bangkalan,198123
Kabupaten Sampang,172494
Kabupaten Pamekasan,107649
Kabupaten Sumenep,230581
Kota Kediri,10198
Kota Blitar,5212
Kota Malang,10771
Kota Probolinggo,8104
Kota Pasuruan,7294
Kota Mojokerto,5033
Kota Madiun,11454
Kota Surabaya,8117
Kota Batu,6763
