Kabupaten, Produksi
Kabupaten Pacitan,89684
Kabupaten Ponorogo,377263
Kabupaten Trenggalek,120575
Kabupaten Tulungagung,216885
Kabupaten Blitar,224179
Kabupaten Kediri,219835
Kabupaten Malang,288020
Kabupaten Lumajang,310737
Kabupaten Jember,688809
Kabupaten Banyuwangi,514529
Kabupaten Bondowoso,253835
Kabupaten Situbondo,175555
Kabupaten Probolinggo,176576
Kabupaten Pasuruan,302466
Kabupaten Sidoarjo,248201
Kabupaten Mojokerto,317874
Kabupaten Jombang,393773
Kabupaten Nganjuk,395385
Kabupaten Madiun,404953
Kabupaten Magetan,289458
Kabupaten Ngawi,746763
Kabupaten Bojonegoro,752513
Kabupaten Tuban,564241
Kabupaten Lamongan,896653
Kabupaten Gresik,351702
Kabupaten Bangkalan,243712
Kabupaten Sampang,189040
Kabupaten Pamekasan,114179
Kabupaten Sumenep,258285
Kota Kediri,10206
Kota Blitar,4871
Kota Malang,11850
Kota Probolinggo,5747
Kota Pasuruan,11847
Kota Mojokerto,4182
Kota Madiun,8485
Kota Surabaya,14475
Kota Batu,5870
