Kabupaten, Produksi
Kabupaten Pacitan,91942
Kabupaten Ponorogo,322206
Kabupaten Trenggalek,112214
Kabupaten Tulungagung,196431
Kabupaten Blitar,224027
Kabupaten Kediri,222838
Kabupaten Malang,281072
Kabupaten Lumajang,283894
Kabupaten Jember,616858
Kabupaten Banyuwangi,445254
Kabupaten Bondowoso,251372
Kabupaten Situbondo,167666
Kabupaten Probolinggo,193774
Kabupaten Pasuruan,269463
Kabupaten Sidoarjo,234788
Kabupaten Mojokerto,339756
Kabupaten Jombang,344236
Kabupaten Nganjuk,399846
Kabupaten Madiun,419292
Kabupaten Magetan,260671
Kabupaten Ngawi,777190
Kabupaten Bojonegoro,692073
Kabupaten Tuban,519934
Kabupaten Lamongan,839724
Kabupaten Gresik,367718
Kabupaten Bangkalan,201620
Kabupaten Sampang,156220
Kabupaten Pamekasan,91313
Kabupaten Sumenep,186091
Kota Kediri,7033
Kota Blitar,6085
Kota Malang,13910
Kota Probolinggo,7165
Kota Pasuruan,10805
Kota Mojokerto,3566
Kota Madiun,8259
Kota Surabaya,9597
Kota Batu,5031
